IPTV Live,#genre#
CCTV1,http://39.130.206.132:6410/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226589/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226595/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226030/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190617_t0x01q5a_original_r10/c211_scc_20190617_t0x01q5a_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000021973/1.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV2,http://39.130.206.132:6410/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226593/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c212_scc_20190617_y2vstiy0_original_r10/c212_scc_20190617_y2vstiy0_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000012442/1.m3u8
CCTV3,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_0apbps2b_original_r10/c213_scc_20190618_0apbps2b_original_r10.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV4,http://39.130.206.132:6410/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226171/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226732/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_horpaeho_original_r10/c214_scc_20190618_horpaeho_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000031664/1.m3u8
CCTV5,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226328/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226554/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226556/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226560/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226645/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226649/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226687/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_g0ecxw42_original_r10/c211_scc_20190618_g0ecxw42_original_r10.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226400/index.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-5/CCTV-5.m3u8
CCTV5+,http://39.130.206.132:6410/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8#http://60.255.149.208/tslive/c213_scc_20190618_4jwk1euz_original_r10/c213_scc_20190618_4jwk1euz_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000018504/1.m3u8
CCTV6,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c212_scc_20190618_f0vs0sva_original_r10/c212_scc_20190618_f0vs0sva_original_r10.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-6/CCTV-6.m3u8
CCTV7,http://39.130.206.132:6410/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226607/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_dtnwkq23_original_r10/c213_scc_20190618_dtnwkq23_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000017218/1.m3u8
CCTV8,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226060/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_bihnj4fv_original_r10/c214_scc_20190618_bihnj4fv_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000004000024993/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225928/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226330/index.m3u8#http://39.130.206.132:6410/gitv_live/G_CCTV-8/G_CCTV-8.m3u8
CCTV9,http://39.130.206.132:6410/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226609/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_5dmwgabs_original_r10/c211_scc_20190618_5dmwgabs_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000028286/1.m3u8
CCTV10,http://39.130.206.132:6410/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226498/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c212_scc_20190618_bxdh5ymp_original_r10/c212_scc_20190618_bxdh5ymp_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000026367/1.m3u8
CCTV11,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_nohp5ial_original_r10/c213_scc_20190618_nohp5ial_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000019789/1.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-11/CCTV-11.m3u8#http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV12,http://39.130.206.132:6410/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226167/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226520/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_afsgxiaq_original_r10/c214_scc_20190618_afsgxiaq_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000001640/1.m3u8
CCTV13,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://119.167.204.85/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226417/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190617_igue0laq_original_r10/c213_scc_20190617_igue0laq_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000021303/1.m3u8#http://39.130.206.132:6410/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV14,http://39.130.206.132:6410/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226126/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226508/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_tg3qtz2h_original_r10/c211_scc_20190618_tg3qtz2h_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000021349/1.m3u8
CCTV15,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225749/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c212_scc_20190618_sa0rcja5_original_r10/c212_scc_20190618_sa0rcja5_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000008163/1.m3u8#http://39.130.206.132:6410/gitv_live/G_CCTV-15/G_CCTV-15.m3u8
CCTV17,http://39.130.206.132:6410/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226027/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190821_ebqtzqt2_original_r10/c211_scc_20190821_ebqtzqt2_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000005000056836/1.m3u8
CCTV4K,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8#http://60.255.149.208/tslive/c214_scc_20190618_pr3jsp04_original_r10/c214_scc_20190618_pr3jsp04_original_r10.m3u8
CETV1,http://39.130.206.132:6410/gitv_live/G_CETV-1-HD/G_CETV-1-HD.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226132/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_hckfiiqn_original_r10/c213_scc_20190618_hckfiiqn_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000027253/1.m3u8
CGTN,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls#http://112.17.40.140/PLTV/88888888/224/3221226235/index.m3u8
卫视,#genre#
安徽卫视,http://39.130.206.132:6410/gitv_live/G_ANHUI-HD/G_ANHUI-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226490/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226611/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226072/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_giydmofz_original_r10/c213_scc_20190618_giydmofz_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000020780/1.m3u8
北京卫视,http://39.130.206.132:6410/gitv_live/BTV-1/BTV-1.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226518/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226583/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226049/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225754/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190617_t0j0qeca_original_r10/c214_scc_20190617_t0j0qeca_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000017156/1.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000302/index.m3u8
东方卫视,http://39.130.206.132:6410/gitv_live/DFWS-HD/DFWS-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226142/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226581/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226621/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225783/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226055/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_5hqsk5u4_original_r10/c211_scc_20190618_5hqsk5u4_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000030202/1.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000309/index.m3u8
甘肃卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/gansu_2_hd.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226187/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_5pkk3m0j_original_r10/c214_scc_20190618_5pkk3m0j_original_r10.m3u8#http://183.230.80.8:80/000000001000/8938598377512027715/1.m3u8
广东卫视,http://39.130.206.132:6410/gitv_live/GDWS-HD/GDWS-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226510/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226585/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226041/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_5utbuoav_original_r10/c214_scc_20190618_5utbuoav_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000028357/1.m3u8
广西卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226211/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_bhnjlzhp_original_r10/c213_scc_20190618_bhnjlzhp_original_r10.m3u8#http://183.230.80.8:80/000000001000/8069815772565148726/1.m3u8
贵州卫视,http://39.130.206.132:6410/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226146/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225771/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c214_scc_20190618_ojwn34tu_original_r10/c214_scc_20190618_ojwn34tu_original_r10.m3u8#http://183.230.80.8:80/000000001000/5468064193211864646/1.m3u8
海南卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226116/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls#http://183.230.80.8:80/000000001000/7899627377857656087/1.m3u8
河北卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226110/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226058/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_qsmohl2z_original_r10/c211_scc_20190618_qsmohl2z_original_r10.m3u8#http://183.230.80.8:80/000000001000/8360637122634561354/1.m3u8
河南卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226130/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226032/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c211_scc_20190618_umdim3h2_original_r10/c211_scc_20190618_umdim3h2_original_r10.m3u8
黑龙江卫视,http://39.130.206.132:6410/gitv_live/G_HEILONGJIANG-HD/G_HEILONGJIANG-HD.m3u8#http://221.178.18.12/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://221.178.18.21/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226613/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226052/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c212_scc_20190618_s0ze1vt5_original_r10/c212_scc_20190618_s0ze1vt5_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000001000009082/1.m3u8
湖北卫视,http://39.130.206.132:6410/gitv_live/G_HUBEI-HD/G_HUBEI-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226197/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226512/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226547/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226044/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls#http://183.230.80.8:80/000000001000/1000000001000010355/1.m3u8
湖南卫视,http://39.130.206.132:6410/gitv_live/HNWS-HD/HNWS-HD.m3u8#http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226615/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226004/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225707/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221225778/1/index.m3u8?fmt=ts2hls#http://183.230.80.8:80/000000001000/1000000001000009115/1.m3u8
吉林卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jilin_2_hd.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226158/index.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226078/1/index.m3u8?fmt=ts2hls#http://60.255.149.208/tslive/c213_scc_20190618_a3rpna2i_original_r10/c213_scc_20190618_a3rpna2i_original_r10.m3u8#http://183.230.80.8:80/000000001000/1000000002000027730/1.m3u8
